DOI	ARK	Issue Date	Title	Author	DOE Contract	Non-DOE Contract	Sponsoring Organizations	Datatype
10.34770/8ad7-jj80		2023	"Data for ""Double-Sided Electron Energy Analyzer for Measurement of Non-Maxwellian Electron Energy Distributions"""	Na, Byungkeun;Robbins, Adam;Yoo, Jongsoo;Ji, Hantao	AC02-09CH11466	EN2301-14	USDOE Office of Science (SC)	ND
10.34770/a9h3-r161		2024	"Data for figures in ""Experimental study of Alfvén wave reflection from an Alfvén-speed gradient relevant to the solar coronal holes"""	Bose, Sayak;TenBarge, Jason;Carter, Troy;Hahn, Michael;Ji, Hantao;Juno, James;Savin, Daniel;Tripathi, Shreekrishna;Vincena, Stephen	AC02-09CH11466;SC0021261	2209471;AGS-9724366	USDOE Office of Science (SC)	ND
10.34770/smme-a456		2024	Applicability of Alkali Beam Emission Spectroscopy on NSTX-U	Lampert, Mate	AC02-09CH11466		USDOE Office of Science (SC)	ND
10.34770/jvhk-3861	88435/dsp01vx021j42j	2023	O-Mode instability for non-thermal continuum radiation generated near the plasmapause	Cheng, C. Z.;Kim, E.-H.;Boardsen, S. A.;Cairns, I. H.;Johnson, J. R.	AC02-09CH11466	80HQTR18T0066 ;80HQTR19T0076;AGS 2131013	USDOE Office of Science (SC)	SM
10.34770/rt5a-sy08	88435/dsp01m326m505b	2024	"Data for ""Exploration of the parameter space of quasisymmetric stellarator vacuum fields through adjoint optimisation"""	Nies, Richard;Paul, Elizabeth;Panici, Dario;Hudson, Stuart;Bhattacharjee, Amitava	AC02-09CH11466;SC0016072		USDOE Office of Science (SC)	ND
10.34770/haxf-3c93		2024	"Data for ""Improved stellarator permanent magnet designs through combined discrete and continuous optimizations"""	Hammond, Kenneth;Kaptanoglu, Alan	AC02-09CH11466;FG02-93ER54197		USDOE Office of Science (SC)	ND
10.34770/vj4h-6120		2024	"Data for ""Kinetic-Ballooning-Limited Pedestals in Spherical Tokamak Plasmas"""	Parisi, Jason;Guttenfelder, W.;Nelson, A.;Gaur, R.;Kleiner, A.;Lampert, M.;Avdeeva, G.;Berkery, J.W.;Clauser, C.;Curie, M.;Diallo, A.;Dorland, W.;Kaye, S.M;McClenaghan, J.;Parra, F.I.	AC02-09CH11466;SC0022270;SC0022272		USDOE Office of Science (SC)	ND
10.34770/m8rz-5718	88435/dsp010k225f364	2023	Alfvén waves at the interface of solar wind and magnetosphere	Kim, Eun-Hwa;Johnson, Jay R.;Damiano, Peter A.	AC02-09CH11466	2131013;80HQTR19T0076;80NSSC19K0843;80NSSC20K0355;80NSSC20K0704;80NSSC21K1678;80NSSC21K2009;80NSSC22K0515	USDOE Office of Science (SC)	SM
10.34770/g2gt-4694		2024	"Data for ""Real-time capable modeling of ICRF heating on NSTX and WEST via machine learning approaches"""	Sánchez-Villar, Álvaro;Bai, Z.;Bertelli, N.;Bethel, E.W.;Hillairet, J.;Perciano, T.;Shiraiwa, S.;Wallace, G.M.;Wright, J.C.	AC02-09CH11466		USDOE Office of Science (SC)	ND
10.34770/tqyp-x350	88435/dsp017s75dg689	2023	Absolute electron density fluctuation reconstruction for two-dimensional Hydrogen beam emission spectroscopy	Lampert, Mate	AC02-09CH11466		USDOE Office of Science (SC)	ND
10.34770/8ecv-zm19		2024	Data from the Princeton Field Reversal Configuration (PFRC) Experiment	Cohen, Samuel A.;Swanson, Charles;Jandovitz, Peter;Vinoth, Sangeeta;David, Liam;Berlinger, Bruce	AC02-09CH11466;AC02-76CH03073		USDOE Office of Science (SC)	SM
10.34770/n4n1-1g10		2024	Intrinsic toroidal rotation driven by turbulent and neoclassical processes in tokamak plasmas from global gyrokinetic simulations	Zhu, Hongxuan;Stoltzfus-Dueck, T.;Hager, R.;Ku, S.;Chang, C. S.	AC02-05CH11231;AC02-09CH11466	SciDAC-4	USDOE Office of Science (SC)	ND
10.34770/jsyh-gg45		2024	"Data for ""Valuing maintenance strategies for fusion plants as part of a future electricity grid"""	Schwartz, Jacob;Ricks, Wilson;Kolemen, Egemen;Jenkins, Jesse	AC02-09CH11466		USDOE Office of Science (SC)	SM
